Line,Stations,Length (km),Terminal A,Terminal B,Opening Date,Phase
Red Line,6,8.35,Shahdara,Tis Hazari,25 December 2002,Phase I
Red Line,4,4.87,Tis Hazari,Inderlok,3 October 2003,Phase I
Red Line,8,8.84,Inderlok,Rithala,31 March 2004,Phase I
Yellow Line,4,4.06,Vishwa Vidyalaya,Kashmere Gate,20 December 2004,Phase I
Yellow Line,6,6.62,Kashmere Gate,Central Secretariat,3 July 2005,Phase I
Blue Line,22,22.74,Dwarka,Barakhamba Road,31 December 2005,Phase I
Blue Line,6,6.47,Dwarka,Dwarka Sector 9,1 April 2006,Phase I
Blue Line,3,2.8,Barakhamba Road,Indraprastha,11 November 2006,Phase I
Total,59,64.75,,,,Phase I
