Station Name,Metro Line,Opened,Station Layout,Platform Layout
Adarsh Nagar,Yellow Line,4 February 2009,Elevated,Side
AIIMS,Yellow Line,3 September 2010,Underground,Island
Akshardham,Blue Line,12 November 2009,Elevated,Side
Anand Vihar,Blue Line,6 January 2010,Elevated,Side
Anand Vihar,Pink Line,31 October 2018,Elevated,Side
Arjan Garh,Yellow Line,21 June 2010,Elevated,Side
Arthala,Red Line,8 March 2019,Elevated,Side
Ashok Park Main,Green Line,2 April 2010,Elevated,Side
Ashram,Pink Line,31 December 2018,Underground,Island
Azadpur,Yellow Line,4 February 2009,Elevated,Side
Azadpur,Pink Line,14 March 2018,Underground,Island
Badarpur Border,Violet Line,14 January 2011,Elevated,Side
Badkhal Mor,Violet Line,6 September 2015,Elevated,Side
Bahadurgarh City,Green Line,24 June 2018,Elevated,Side
Barakhamba Road,Blue Line,30 December 2005,Underground,Side
Bata Chowk,Violet Line,6 September 2015,Elevated,Side
Bhikaji Cama Place,Pink Line,6 August 2018,Underground,Island
Botanical Garden,Blue Line,12 November 2009,Elevated,Side
Botanical Garden,Magenta Line,25 December 2017,Elevated,Side
Brigadier Hoshiyar Singh,Green Line,24 June 2018,Elevated,Side
Central Secretariat,Yellow Line,3 July 2005,Underground,Side
Central Secretariat,Violet Line,3 October 2010,Underground,Side
Chandni Chowk,Yellow Line,3 July 2005,Underground,Island
Chawri Bazar,Yellow Line,3 July 2005,Underground,Island
Chhatarpur,Yellow Line,26 August 2010,Elevated,Side
Chirag Delhi,Magenta Line,29 May 2018,Underground,Island
Civil Lines,Yellow Line,20 December 2004,Underground,Side
Dabri Mor - Janakpuri South,Magenta Line,29 May 2018,Underground,Island
Dashrath Puri,Magenta Line,29 May 2018,Underground,Island
Delhi Aerocity,Airport Express,15 August 2011,Underground,Side
Delhi Cantonment,Pink Line,14 March 2018,Elevated,Side
Delhi Gate,Violet Line,28 May 2017,Underground,Island
Dhansa Bus Stand,Grey Line,18 September 2021,Underground,Side
Dhaula Kuan,Airport Express,15 August 2011,Elevated,Side
Dilli Haat - INA,Yellow Line,3 September 2010,Underground,Island
Dilli Haat - INA,Pink Line,6 August 2018,Underground,Island
Dilshad Garden,Red Line,4 June 2008,Elevated,Side
Durgabai Deshmukh South Campus,Pink Line,14 March 2018,Elevated,Side
Dwarka,Blue Line,30 December 2005,Elevated,Side
Dwarka,Grey Line,4 October 2019,Elevated,Side
Dwarka Mor,Blue Line,30 December 2005,Elevated,Side
Dwarka Sector 8,Blue Line,30 October 2010,Elevated,Side
Dwarka Sector 9,Blue Line,1 April 2006,Elevated,Side
Dwarka Sector 10,Blue Line,1 April 2006,Elevated,Side
Dwarka Sector 11,Blue Line,1 April 2006,Elevated,Side
Dwarka Sector 12,Blue Line,1 April 2006,Elevated,Side
Dwarka Sector 13,Blue Line,1 April 2006,Elevated,Side
Dwarka Sector 14,Blue Line,1 April 2006,Elevated,Side
Dwarka Sector 21,Blue Line,30 October 2010,Underground,Side
Dwarka Sector 21,Airport Express,23 February 2011,Underground,Side
East Azad Nagar,Pink Line,31 October 2018,Elevated,Side
East Vinod Nagar - Mayur Vihar-II,Pink Line,31 October 2018,Elevated,Side
Escorts Mujesar,Violet Line,6 September 2015,Elevated,Side
ESI - Basaidarapur,Pink Line,14 March 2018,Elevated,Side
Ghevra,Green Line,24 June 2018,Elevated,Side
Ghitorni,Yellow Line,21 June 2010,Elevated,Side
Gokulpuri,Pink Line,31 October 2018,Elevated,Side
Golf Course,Blue Line,12 November 2009,Elevated,Side
Govindpuri,Violet Line,3 October 2010,Elevated,Side
Greater Kailash,Magenta Line,29 May 2018,Underground,Island
Green Park,Yellow Line,3 September 2010,Underground,Island
GTB Nagar,Yellow Line,4 February 2009,Underground,Side
Guru Dronacharya,Yellow Line,21 June 2010,Elevated,Side
Haiderpur Badli Mor,Yellow Line,10 November 2015,Elevated,Island
Harkesh Nagar Okhla,Violet Line,3 October 2010,Elevated,Side
Hauz Khas,Yellow Line,3 September 2010,Underground,Island
Hauz Khas,Magenta Line,29 May 2018,Underground,Island
Hindon River,Red Line,8 March 2019,Elevated,Side
HUDA City Centre,Yellow Line,21 June 2010,Elevated,Side
IFFCO Chowk,Yellow Line,21 June 2010,Elevated,Side
IIT Delhi,Magenta Line,29 May 2018,Underground,Island
Inderlok,Red Line,3 October 2003,Elevated,Side
Inderlok,Green Line,2 April 2010,Elevated,Island
Indira Gandhi International Airport,Airport Express,23 February 2011,Underground,Island
Indraprastha,Blue Line,11 November 2006,Elevated,Side
IP Extension,Pink Line,31 October 2018,Elevated,Side
ITO,Violet Line,8 June 2015,Underground,Island
Jaffrabad,Pink Line,31 October 2018,Elevated,Side
Jahangirpuri,Yellow Line,4 February 2009,Elevated,Side
Jama Masjid,Violet Line,28 May 2017,Underground,Island
Jamia Millia Islamia,Magenta Line,25 December 2017,Elevated,Side
Janakpuri East,Blue Line,30 December 2005,Elevated,Side
Janakpuri West,Blue Line,30 December 2005,Elevated,Side
Janakpuri West,Magenta Line,29 May 2018,Underground,Island
Jangpura,Violet Line,3 October 2010,Underground,Island
Janpath,Violet Line,26 June 2014,Underground,Island
Jasola Apollo,Violet Line,3 October 2010,Elevated,Side
Jasola Vihar Shaheen Bagh,Magenta Line,25 December 2017,Elevated,Side
Jawaharlal Nehru Stadium,Violet Line,3 October 2010,Underground,Island
Jhandewalan,Blue Line,30 December 2005,Elevated,Side
Jhilmil,Red Line,4 June 2008,Elevated,Side
Johri Enclave,Pink Line,31 October 2018,Elevated,Side
Jor Bagh,Yellow Line,3 September 2010,Underground,Island
Kailash Colony,Violet Line,3 October 2010,Elevated,Side
Kalindi Kunj,Magenta Line,25 December 2017,Elevated,Side
Kalkaji Mandir,Violet Line,3 October 2010,Elevated,Side
Kalkaji Mandir,Magenta Line,25 December 2017,Underground,Side
Kanhaiya Nagar,Red Line,31 March 2004,Elevated,Side
Karkarduma,Blue Line,6 January 2010,Elevated,Side
Karkarduma,Pink Line,31 October 2018,Elevated,Side
Karkarduma Court,Pink Line,31 October 2018,Elevated,Side
Karol Bagh,Blue Line,30 December 2005,Elevated,Side
Kashmere Gate†¤,Red Line,24 December 2002,Elevated,Side
Kashmere Gate†¤,Yellow Line,20 December 2004,Underground,Island
Kashmere Gate†¤,Violet Line,28 May 2017,Underground,Island
Kaushambi,Blue Line,14 July 2011,Elevated,Side
Keshav Puram,Red Line,31 March 2004,Elevated,Side
Khan Market,Violet Line,3 October 2010,Underground,Island
Kirti Nagar,Blue Line,30 December 2005,Elevated,Side
Kirti Nagar,Green Line,27 August 2011,At-Grade,Side
Krishna Nagar,Pink Line,31 October 2018,Elevated,Side
Kohat Enclave,Red Line,31 March 2004,Elevated,Side
Lajpat Nagar,Violet Line,3 October 2010,Elevated,Side
Lajpat Nagar,Pink Line,6 August 2018,Underground,Island
Lal Qila,Violet Line,28 May 2017,Underground,Island
Laxmi Nagar,Blue Line,6 January 2010,Elevated,Side
Lok Kalyan Marg,Yellow Line,3 September 2010,Underground,Island
Madipur,Green Line,2 April 2010,Elevated,Side
Maharaja Surajmal Stadium,Green Line,2 April 2010,Elevated,Side
Majlis Park,Pink Line,14 March 2018,Elevated,Side(platforms 3 and 4 are for phase IV)
Major Mohit Sharma Rajendra Nagar,Red Line,8 March 2019,Elevated,Side
Malviya Nagar,Yellow Line,3 September 2010,Underground,Island
Mandawali - West Vinod Nagar,Pink Line,31 October 2018,Elevated,Side
Mandi House,Blue Line,11 November 2006,Underground,Side
Mandi House,Violet Line,26 June 2014,Underground,Island
Mansarovar Park,Red Line,4 June 2008,Elevated,Side
Maujpur - Babarpur,Pink Line,31 October 2018,Elevated,Side
Mayapuri,Pink Line,14 March 2018,Elevated,Side
Mayur Vihar-I,Blue Line,12 November 2009,Elevated,Island
Mayur Vihar-I,Pink Line,31 December 2018,Elevated,Side
Mayur Vihar Extension,Blue Line,12 November 2009,Elevated,Island
Mayur Vihar Pocket I,Pink Line,31 December 2018,Elevated,Side
Mewla Maharajpur,Violet Line,6 September 2015,Elevated,Side
MG Road,Yellow Line,21 June 2010,Elevated,Side
Model Town,Yellow Line,4 February 2009,Elevated,Side
Mohan Estate,Violet Line,14 January 2011,Elevated,Side
Mohan Nagar,Red Line,8 March 2019,Elevated,Side
Moolchand,Violet Line,3 October 2010,Elevated,Side
Moti Nagar,Blue Line,30 December 2005,Elevated,Side
Mundka,Green Line,2 April 2010,Elevated,Side
Mundka Industrial Area,Green Line,24 June 2018,Elevated,Side
Munirka,Magenta Line,29 May 2018,Underground,Island
Najafgarh,Grey Line,4 October 2019,Underground,Side
Nangli,Grey Line,4 October 2019,Elevated,Side
Nangloi,Green Line,2 April 2010,Elevated,Side
Nangloi Railway Station,Green Line,2 April 2010,Elevated,Side
Naraina Vihar,Pink Line,14 March 2018,Underground,Island
Nawada,Blue Line,30 December 2005,Elevated,Side
Neelam Chowk Ajronda,Violet Line,6 September 2015,Elevated,Side
Nehru Enclave,Magenta Line,29 May 2018,Underground,Island
Nehru Place,Violet Line,3 October 2010,Elevated,Side
Netaji Subhash Place,Red Line,31 March 2004,Elevated,Side
Netaji Subhash Place,Pink Line,14 March 2018,Underground,Side
New Ashok Nagar,Blue Line,12 November 2009,Elevated,Side
New Delhi†¤,Yellow Line,3 July 2005,Underground,Island
New Delhi†¤,Airport Express,23 February 2011,Underground,Island
NHPC Chowk,Violet Line,6 September 2015,Elevated,Side
Nirman Vihar,Blue Line,6 January 2010,Elevated,Side
Noida City Centre,Blue Line,12 November 2009,Elevated,Side
Noida Electronic City,Blue Line,9 March 2019,Elevated,Side
Noida Sector 15,Blue Line,12 November 2009,Elevated,Side
Noida Sector 16,Blue Line,12 November 2009,Elevated,Side
Noida Sector 18,Blue Line,12 November 2009,Elevated,Side
Noida Sector 34,Blue Line,9 March 2019,Elevated,Side
Noida Sector 52,Blue Line,9 March 2019,Elevated,Side
Noida Sector 59,Blue Line,9 March 2019,Elevated,Side
Noida Sector 61,Blue Line,9 March 2019,Elevated,Side
Noida Sector 62,Blue Line,9 March 2019,Elevated,Side
Okhla Bird Sanctuary,Magenta Line,25 December 2017,Elevated,Side
Okhla NSIC,Magenta Line,25 December 2017,Elevated,Side
Okhla Vihar,Magenta Line,25 December 2017,Elevated,Side
Old Faridabad,Violet Line,6 September 2015,Elevated,Side
Palam,Magenta Line,29 May 2018,Underground,Island
