route_id,service_type,trip_id,shape_id
20,1,10290,shp_1_31
20,1,10291,shp_1_31
20,1,10292,shp_1_31
20,1,10293,shp_1_31
20,1,10294,shp_1_31
20,1,10295,shp_1_31
20,1,10296,shp_1_31
20,1,10297,shp_1_31
20,1,10298,shp_1_31
20,1,10299,shp_1_31
0,1,103,shp_1_30
2,1,1030,shp_1_13
20,1,10300,shp_1_31
20,1,10301,shp_1_31
20,1,10302,shp_1_31
20,1,10303,shp_1_31
20,1,10304,shp_1_31
20,1,10305,shp_1_31
20,1,10306,shp_1_31
20,1,10307,shp_1_31
20,1,10308,shp_1_31
20,1,10309,shp_1_31
2,1,1031,shp_1_13
20,1,10310,shp_1_31
20,1,10311,shp_1_31
20,1,10312,shp_1_31
20,1,10313,shp_1_31
20,1,10314,shp_1_31
20,1,10315,shp_1_31
20,1,10316,shp_1_31
20,1,10317,shp_1_31
20,1,10318,shp_1_31
20,1,10319,shp_1_31
2,1,1032,shp_1_13
20,1,10320,shp_1_31
20,1,10321,shp_1_31
20,1,10322,shp_1_31
20,1,10323,shp_1_31
20,1,10324,shp_1_31
20,1,10325,shp_1_31
20,1,10326,shp_1_31
20,1,10327,shp_1_31
20,1,10328,shp_1_31
20,1,10329,shp_1_31
2,1,1033,shp_1_13
20,1,10330,shp_1_31
20,1,10331,shp_1_31
20,1,10332,shp_1_31
20,1,10333,shp_1_31
20,1,10334,shp_1_31
20,1,10335,shp_1_31
20,1,10336,shp_1_31
20,1,10337,shp_1_31
20,1,10338,shp_1_31
20,1,10339,shp_1_31
2,1,1034,shp_1_13
20,1,10340,shp_1_31
20,1,10341,shp_1_31
20,1,10342,shp_1_31
20,1,10343,shp_1_31
20,1,10344,shp_1_31
20,1,10345,shp_1_31
20,1,10346,shp_1_31
20,1,10347,shp_1_31
20,1,10348,shp_1_31
20,1,10349,shp_1_31
2,1,1035,shp_1_13
20,1,10350,shp_1_31
20,1,10351,shp_1_31
20,1,10352,shp_1_31
20,1,10353,shp_1_31
20,1,10354,shp_1_31
20,1,10355,shp_1_31
20,1,10356,shp_1_31
20,1,10357,shp_1_31
20,1,10358,shp_1_31
20,1,10359,shp_1_31
2,1,1036,shp_1_13
20,1,10360,shp_1_31
20,1,10361,shp_1_31
20,1,10362,shp_1_31
20,1,10363,shp_1_31
20,1,10364,shp_1_31
20,1,10365,shp_1_31
20,1,10366,shp_1_31
20,1,10367,shp_1_31
20,1,10368,shp_1_31
20,1,10369,shp_1_31
2,1,1037,shp_1_13
20,1,10370,shp_1_31
20,1,10371,shp_1_31
20,1,10372,shp_1_31
