Station Name,Metro Line,Opened,Station Layout,Platform Layout
Noida Sector 34,Blue Line,09-Mar-19,Elevated,Side
Noida Sector 52,Blue Line,09-Mar-19,Elevated,Side
Noida Sector 59,Blue Line,09-Mar-19,Elevated,Side
Noida Sector 61,Blue Line,09-Mar-19,Elevated,Side
Noida Sector 62,Blue Line,09-Mar-19,Elevated,Side
Okhla Bird Sanctuary,Magenta Line,25-Dec-17,Elevated,Side
Okhla NSIC,Magenta Line,25-Dec-17,Elevated,Side
Okhla Vihar,Magenta Line,25-Dec-17,Elevated,Side
Old Faridabad,Violet Line,06-Sep-15,Elevated,Side
Palam,Magenta Line,29-May-18,Underground,Island
Panchsheel Park,Magenta Line,29-May-18,Underground,Island
Pandit Shree Ram Sharma,Green Line,24-Jun-18,Elevated,Side
Paschim Vihar East,Green Line,02-Apr-10,Elevated,Side
Paschim Vihar West,Green Line,02-Apr-10,Elevated,Side
Patel Chowk,Yellow Line,03-Jul-05,Underground,Island
Patel Nagar,Blue Line,30-Dec-05,Elevated,Side
Peeragarhi,Green Line,02-Apr-10,Elevated,Side
Pitampura,Red Line,31-Mar-04,Elevated,Side
Pratap Nagar,Red Line,03-Oct-03,Elevated,Side
Preet Vihar,Blue Line,06-Jan-10,Elevated,Side
Pul Bangash,Red Line,03-Oct-03,Elevated,Side
Punjabi Bagh,Green Line,02-Apr-10,Elevated,Side
Punjabi Bagh West,Pink Line,14-Mar-18,Elevated,Side
Punjabi Bagh West,Green Line,02-Apr-10,Elevated,Side
Qutab Minar,Yellow Line,21-Jun-10,Elevated,Side
R. K. Puram,Magenta Line,29-May-18,Underground,Island
Raja Nahar Singh,Violet Line,19-Nov-18,Elevated,Side
Raj Bagh,Red Line,08-Mar-19,Elevated,Side
Rajdhani Park,Green Line,02-Apr-10,Elevated,Side
Rajendra Place,Blue Line,30-Dec-05,Elevated,Side
Rajiv Chowk,Yellow Line,03-Jul-05,Underground,Island
Rajiv Chowk,Blue Line,30-Dec-05,Underground,Side
Rajouri Garden,Blue Line,30-Dec-05,Elevated,Side
Rajouri Garden,Pink Line,14-Mar-18,Elevated,Side
Ramakrishna Ashram Marg,Blue Line,30-Dec-05,Elevated,Side
Ramesh Nagar,Blue Line,30-Dec-05,Elevated,Side
Rithala,Red Line,31-Mar-04,Elevated,Side
Rohini East,Red Line,31-Mar-04,Elevated,Side
"Rohini Sector 18, 19",Yellow Line,10-Nov-15,Elevated,Side
Rohini West,Red Line,31-Mar-04,Elevated,Side
Sadar Bazaar Cantonment,Magenta Line,29-May-18,Elevated,Side
Saket,Yellow Line,03-Sep-10,Underground,Island
Samaypur Badli,Yellow Line,10-Nov-15,Elevated,Side
Sant Surdas (Sihi),Violet Line,19-Nov-18,Elevated,Side
Sarai,Violet Line,06-Sep-15,Elevated,Side
Sarai Kale Khan - Nizamuddin,Pink Line,31-Dec-18,Underground,Island
Sarita Vihar,Violet Line,03-Oct-10,Elevated,Side
Sarojini Nagar,Pink Line,06-Aug-18,Underground,Island
Satguru Ram Singh Marg,Green Line,27-Aug-11,Elevated,Side
Sector 28,Violet Line,06-Sep-15,Elevated,Side
Seelampur,Red Line,24-Dec-02,At Grade,Island
Shadipur,Blue Line,30-Dec-05,Elevated,Side
Shahdara,Red Line,24-Dec-02,At Grade,Side
Shaheed Nagar,Red Line,08-Mar-19,Elevated,Side
Shaheed Sthal,Red Line,08-Mar-19,Elevated,Side
Shakurpur,Pink Line,14-Mar-18,Elevated,Island
Shalimar Bagh,Pink Line,14-Mar-18,Underground,Island
Shankar Vihar,Magenta Line,29-May-18,Elevated,Side
Shastri Nagar,Red Line,03-Oct-03,Elevated,Side
Shastri Park,Red Line,24-Dec-02,At Grade,Side
Shiv Vihar,Pink Line,31-Oct-18,Elevated,Side
Shivaji Park,Green Line,02-Apr-10,Elevated,Side
Shivaji Stadium,Airport Express,23-Feb-11,Underground,Island
Shyam Park,Red Line,08-Mar-19,Elevated,Side
Sikanderpur,Yellow Line,21-Jun-10,Elevated,Side
Sir M. Vishweshwaraiah Moti Bagh,Pink Line,06-Aug-18,Elevated,Side
South Extension,Pink Line,06-Aug-18,Underground,Island
Subhash Nagar,Blue Line,30-Dec-05,Elevated,Side
Sukhdev Vihar,Magenta Line,25-Dec-17,Elevated,Side
Sultanpur,Yellow Line,21-Jun-10,Elevated,Side
Supreme Court,Blue Line,11-Nov-06,Elevated,Side
Tagore Garden,Blue Line,30-Dec-05,Elevated,Side
Terminal 1-IGI Airport,Magenta Line,29-May-18,Underground,Island
Tikri Border,Green Line,24-Jun-18,Elevated,Side
Tikri Kalan,Green Line,24-Jun-18,Elevated,Side
Tilak Nagar,Blue Line,30-Dec-05,Elevated,Side
Tis Hazari,Red Line,24-Dec-02,Elevated,Side
Trilokpuri Sanjay Lake,Pink Line,31-Oct-18,Elevated,Side
Tughlakabad Station,Violet Line,14-Jan-11,Elevated,Side
Udyog Bhawan,Yellow Line,03-Sep-10,Underground,Island
Udyog Nagar,Green Line,02-Apr-10,Elevated,Side
Uttam Nagar East,Blue Line,30-Dec-05,Elevated,Side
Uttam Nagar West,Blue Line,30-Dec-05,Elevated,Side
Vaishali,Blue Line,14-Jul-11,Elevated,Side
Vasant Vihar,Magenta Line,29-May-18,Underground,Island
Vidhan Sabha,Yellow Line,20-Dec-04,Underground,Side
Vinobapuri,Pink Line,31-Dec-18,Underground,Island
Vishwa Vidyalaya,Yellow Line,20-Dec-04,Underground,Side
Welcome,Red Line,24-Dec-02,At Grade,Island
Welcome,Pink Line,31-Oct-18,Elevated,Side
Yamuna Bank,Blue Line,10-May-09,At-Grade,Island
Yamuna Bank,Blue Line,06-Jan-10,At-Grade,Side
Yashobhoomi Dwarka Sector - 25,Airport Express,17-Sep-23,Underground,Island
